DefinitionId,DocumentId,Term,Definition,UsedIn,TranslatedTerm,TranslatedDefinition,Timestamp
1,2,CCATM,La Commission consultative communale d'aménagement du territoire et de mobilité visée par le CoDT.,[49],CCATM,The municipal consultative commission of territorial planning and mobility referred to by the CoDT.,2026-03-14 19:49:28.177
2,2,CRIE,Centre régional d'initiation à l'environnement.,"[96, 97, 98, 99, 101, 102]",CREATE,Regional Center for Initiation to the Environment.,2026-03-14 19:49:28.177
3,2,CoDT,Le Code du développement territorial.,"[49, 67, 158, 259, 262, 272]",CoDT,The Territorial Development Code.,2026-03-14 19:49:28.177
4,2,Convention environnementale,"Toute convention passée entre la Région, qui est représentée à cet effet par le Gouvernement, d'une part, et un ou plusieurs organismes représentatifs d'entreprises, dénommés ci-après l'organisme, d'autre part, en vue de prévenir la pollution de l'environnement, d'en limiter ou neutraliser les effets ou de promouvoir une gestion efficace de l'environnement. La convention environnementale indique notamment : 1° son objet, en ce compris les dispositions législatives européennes ou régionales qu'elle vise à mettre en œuvre, ainsi que les objectifs à atteindre, en ce compris, le cas échéant, les objectifs intermédiaires; 2° les modalités suivant lesquelles elle peut être modifiée conformément aux règles édictées par les dispositions de la présente partie; 3° les modalités suivant lesquelles elle peut être renouvelée conformément aux règles édictées par les dispositions de la présente partie; 4° les modalités suivant lesquelles elle peut être résiliée conformément aux règles édictées par les dispositions de la présente partie; 5° les modalités suivant lesquelles, en cas de résiliation de la convention, la partie qui résilie la convention se conforme aux dispositions décrétales et réglementaires que la convention vise à mettre en œuvre; 6° les modalités de contrôle quant au respect de ses dispositions; 7° les modalités suivant lesquelles sont tranchées les difficultés quant à l'interprétation des clauses de la convention; 8° les clauses pénales en cas d'inexécution de la convention environnementale; 9° les motifs pour lesquels et les conditions dans lesquelles il peut être mis fin à la convention. La convention environnementale peut formaliser la manière dont la ou les parties contractantes met ou mettent en œuvre ses ou leurs obligations. Le Gouvernement peut préciser le contenu des conventions environnementales qu'il détermine.","[329, 330, 331, 332, 333, 334, 335, 336, 337, 338]",Environmental convention,"Any convention concluded between the Region, which is represented for this purpose by the Government, on the one hand, and one or more representative business organizations, hereinafter referred to as the organization, on the other, with a view to preventing pollution of the environment, limiting or neutralizing its effects or promoting effective management of the environment. The environmental convention indicates in particular: 1° its object, including the European or regional legislative provisions that it seeks to implement, as well as the objectives to be achieved, including, where applicable, intermediate objectives; 2° the modalities according to which it may be amended in accordance with the rules laid down by the provisions of this part; 3° the modalities according to which it may be renewed in accordance with the rules laid down by the provisions of this part; 4° the modalities according to which it may be terminated in accordance with the rules laid down by the provisions of this part; 5° the modalities according to which, in the event of termination of the convention, the party that terminates the convention complies with the decree and regulatory provisions that the convention seeks to implement; 6° the control arrangements with regard to compliance with its provisions; 7° the modalities according to which difficulties regarding the interpretation of the clauses of the convention are settled; 8° the penalty clauses in case of non-performance of the environmental convention; 9° the reasons for which and the conditions under which it may be brought to an end. The environmental convention may formalize the manner in which the contracting party or parties put into effect its or their obligations. The Government may specify the content of the environmental conventions that it determines.",2026-03-14 19:49:28.177
5,2,Fonds budgétaire de protection de la Biodiversité,"Le produit des perceptions immédiates et des transactions conclues et le produit des amendes administratives infligées pour des infractions reprises à la loi du 12 juillet 1973 sur la conservation de la nature ou à l'article D.184, § 7.",[592],Budgetary Fund for the Protection of Biodiversity,"The proceeds of immediate collections and of transactions concluded and the proceeds of administrative fines inflicted for infractions referred to in the law of 12 July 1973 on the conservation of nature or in article D.184, § 7.",2026-03-14 19:49:28.177
6,2,Fonds budgétaire du bien-être animal,Le produit des transactions conclues et le produit des perceptions immédiates et des amendes administratives infligées pour des infractions reprises au Code wallon du Bien- être animal.,[592],Animal Welfare Budget Fund,The proceeds of concluded transactions and the proceeds of immediate collections and of administrative fines imposed for offences included in the Walloon Code of Animal Welfare.,2026-03-14 19:49:28.177
7,2,Fonds budgétaire en faveur de la gestion piscicole et halieutique en Wallonie,"Le produit des perceptions immédiates et des transactions conclues et le produit des amendes administratives infligées pour des infractions reprises au décret du 27 mars 2014 relatif à la pêche fluviale, à la gestion piscicole et aux structures halieutiques.",[592],Budgetary fund in favor of piscicultural and halieutic management in Wallonia,"The proceeds of immediate collections and of transactions concluded and the proceeds of administrative fines imposed for offences set out in the decree of 27 March 2014 relating to river fishing, to piscicultural management and to halieutic structures.",2026-03-14 19:49:28.177
8,2,activité professionnelle,"Toute activité exercée dans le cadre d'une activité économique, d'une affaire ou d'une entreprise, indépendamment de son caractère privé ou public, lucratif ou non lucratif.","[348, 529, 557]",professional activity,"Any activity carried out within the framework of an economic activity, a business or an enterprise, regardless of its private or public character, for-profit or non-profit.",2026-03-14 19:49:28.177
9,2,administration régionale,Le ou les services administratifs désignés par le Gouvernement.,"[183, 245, 596, 602, 604, 605, 606, 607]",regional administration,The administrative service or services designated by the Government.,2026-03-14 19:49:28.177
10,2,asbl,Association sans but lucratif constituée conformément au Code des sociétés et des associations.,"[96, 99, 100, 102]",asbl,Non-profit association constituted in accordance with the Code of Companies and Associations.,2026-03-14 19:49:28.177
